status,private pool,propertyType,street,baths,homeFacts,fireplace,city,schools,sqft,zipcode,beds,state,stories,mls-id,PrivatePool,MlsId,target
Active,,Single Family Home,11543 Marion St,2,"{'atAGlanceFacts': [{'factValue': '1964', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Air Conditioning-Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '7289', 'factLabel': 'lotsize'}, {'factValue': '$183', 'factLabel': 'Price/sqft'}]}",,Northglenn,"[{'rating': ['2', '3', '6', '7', '8', '1', 'NR', 'NR'], 'data': {'Distance': ['0.2 mi', '0.7 mi', '1.8 mi', '0.3 mi', '0.3 mi', '1.1 mi', '0.2 mi', '0.2 mi'], 'Grades': ['PK–5', '6–8', '9–12', 'K–8', 'K–8', 'K–12', '9–12', 'PK–8']}, 'name': ['Malley Drive Elementary School', 'Northglenn Middle School', 'Mountain Range High School', 'Stem School', 'Hulstrom Options K-8 School', 'Pathways Future Center School', 'Rocky Mountain Lutheran Private School', 'Lord Of Life Lutheran Private School']}]",1779,80233,4,CO,Bi-Level,,,2747418,"$325,000"
for sale,,single-family home,4032 Powers Ferry Rd NW,6 Baths,"{'atAGlanceFacts': [{'factValue': '1941', 'factLabel': 'Year built'}, {'factValue': '1994', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Detached Garage', 'factLabel': 'Parking'}, {'factValue': '0.44 acres', 'factLabel': 'lotsize'}, {'factValue': '$649/sqft', 'factLabel': 'Price/sqft'}]}",yes,Atlanta,"[{'rating': ['6/10', '6/10', '9/10'], 'data': {'Distance': ['3.07mi', '2.37mi', '1.85mi'], 'Grades': ['10-12', '6-8', 'K-5']}, 'name': ['North Atlanta High School', 'Sutton Middle School', 'Jackson Elementary School']}]","3,375 sqft",30342,5 Beds,GA,2.0,,yes,8662696,"$2,190,000"
For sale,Yes,Single Family,5601 Southern Cross Ave,Bathrooms: 3,"{'atAGlanceFacts': [{'factValue': '1999', 'factLabel': 'Year built'}, {'factValue': '1999', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '9,583 sqft lot', 'factLabel': 'lotsize'}, {'factValue': '$136', 'factLabel': 'Price/sqft'}]}",Yes,Raleigh,"[{'rating': ['5/10', '5/10', '6/10'], 'data': {'Distance': ['0.7 mi', '0.6 mi', '1.8 mi'], 'Grades': ['PK-5', '6-8', '9-12']}, 'name': ['Dillard Drive Elementary', 'Dillard Drive Middle', 'Athens Drive High']}]","Total interior livable area: 2,707 sqft",27606,4 bd,NC,0.0,2279348,,,"$369,000"
Active,,Contemporary,100 1st Ave N #3001 ,,"{'atAGlanceFacts': [{'factValue': '2018', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central', 'factLabel': 'Heating'}, {'factValue': 'Central Air', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': '$1006 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,ST PETERSBURG,"[{'rating': ['4', '2', '6'], 'data': {'Distance': ['2.2 mi', '1.5 mi', '2.1 mi'], 'Grades': ['K to 5', '6 to 8', '9 to 12']}, 'name': ['North Shore Elementary School', 'John Hopkins Middle School', 'St. Petersburg High School']}]","2,475",33701,,FL,One,,,U8056860,"2,490,000"
for sale,,single-family home,3285 Craggy Point SE,7 Baths,"{'atAGlanceFacts': [{'factValue': '2007', 'factLabel': 'Year built'}, {'factValue': '2007', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Detached Garage', 'factLabel': 'Parking'}, {'factValue': '1.65 acres', 'factLabel': 'lotsize'}, {'factValue': '$252/sqft', 'factLabel': 'Price/sqft'}]}",yes,Atlanta,"[{'rating': ['5/10', '6/10', '8/10'], 'data': {'Distance': ['4.2mi', '2.34mi', '1.51mi'], 'Grades': ['9-12', '6-8', 'PK-5']}, 'name': ['Campbell High School', 'Campbell Middle School', 'Teasley Elementary School']}]","6,620 sqft",30339,6 Beds,GA,2.0,,yes,8642317,"$1,665,000"
for sale,,condo,10405 Caminito Rimini,,"{'atAGlanceFacts': [{'factValue': '1973', 'factLabel': 'Year built'}, {'factValue': '1973', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': 'Carport, Attached Garage', 'factLabel': 'Parking'}, {'factValue': '6.55 acres', 'factLabel': 'lotsize'}, {'factValue': '$348/sqft', 'factLabel': 'Price/sqft'}]}",,San Diego,"[{'rating': ['8/10', '10/10', '9/10'], 'data': {'Distance': ['1.57mi', '0.46mi', '1.19mi'], 'Grades': ['6-8', 'K-5', '9-12']}, 'name': ['Black Mountain Middle School', 'Los Penasquitos Elementary School', 'Mt. Carmel High School']}]",945 sqft,92129,2 Beds,CA,,,yes,190031867,"$329,000"
Active,,Condo/Townhome/Row Home/Co-Op,1066 Horizon Ridge Dr,1.5,"{'atAGlanceFacts': [{'factValue': '1998', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': '', 'factLabel': 'Heating'}, {'factValue': 'Central Air', 'factLabel': 'Cooling'}, {'factValue': 'Parking Type', 'factLabel': 'Parking'}, {'factValue': None, 'factLabel': 'lotsize'}, {'factValue': '$145', 'factLabel': 'Price/sqft'}]}",,Lake in the Hills,"[{'rating': ['6', '6', '9', '5', '6', '4', 'NR', 'NR'], 'data': {'Distance': ['0.4 mi', '3.0 mi', '2.1 mi', '1.3 mi', '2.4 mi', '4.3 mi', '1.7 mi', '1.8 mi'], 'Grades': ['PK–5', 'PK–8', '9–12', 'K–5', '6–8', '9–12', 'PK–8', 'PK–5']}, 'name': ['Lake In The Hills Elementary School', 'Westfield Community School', 'Harry D Jacobs High School', 'Kenneth E Neubert Elementary School', 'Algonquin Middle School', 'Dundee-Crown High School', 'St Johns Lutheran Private School', 'Foundations Montessori Private School']}]",1076,60156,2.0,IL,,,,10499494,"$155,900"
,,Single Family,7231 SW 128th St,4.0,"{'atAGlanceFacts': [{'factValue': '1962', 'factLabel': 'Year built'}, {'factValue': '1993', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '2 spaces', 'factLabel': 'Parking'}, {'factValue': '0.36 acres', 'factLabel': 'lotsize'}, {'factValue': '$252', 'factLabel': 'Price/sqft'}]}",,Pinecrest,"[{'rating': ['10/10', '7/10', '6/10'], 'data': {'Distance': ['10.2 mi', '0.2 mi', '0.6 mi'], 'Grades': ['PK-8', '6-8', '8-12']}, 'name': ['Air Base Elementary School', 'Palmetto Middle School', 'Miami Palmetto Senior High School']}]","3,174",33156,4,FL,1.0,,Yes,A10668167,"$799,000"
Active,,Contemporary/Modern,1841 Dewalt St St ,,"{'atAGlanceFacts': [{'factValue': '2020', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Central Electric, Central Gas', 'factLabel': 'Heating'}, {'factValue': 'Central Electric, Central Gas', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '—', 'factLabel': 'lotsize'}, {'factValue': '$139 / Sq. Ft.', 'factLabel': 'Price/sqft'}]}",,Houston,"[{'rating': ['7', '3', '4', '4'], 'data': {'Distance': ['1.1 mi', '0.7 mi', '1.2 mi', '0.8 mi'], 'Grades': ['1 to 3', '5 to 6', '7 to 8', '9 to 12']}, 'name': ['Anderson Academy', 'Houston Academy', 'Drew Academy', 'Carver High School For Applied Tech/engine']}]","1,727",77088,,TX,3,,,59288267,"240,900"
for sale,,condo,1701 S Flagler Dr #504,2 Baths,"{'atAGlanceFacts': [{'factValue': '1973', 'factLabel': 'Year built'}, {'factValue': '', 'factLabel': 'Remodeled year'}, {'factValue': 'Forced Air', 'factLabel': 'Heating'}, {'factValue': 'Central', 'factLabel': 'Cooling'}, {'factValue': '', 'factLabel': 'Parking'}, {'factValue': '', 'factLabel': 'lotsize'}, {'factValue': '$317/sqft', 'factLabel': 'Price/sqft'}]}",,West Palm Beach,"[{'rating': ['5/10', '3/10', '8/10'], 'data': {'Distance': ['1.58mi', '3.22mi', '0.82mi'], 'Grades': ['6-8', '9-12', 'PK-5']}, 'name': ['Conniston Middle School', 'Forest Hill Community High School', 'Palm Beach Public School']}]",978 sqft,33401,,FL,9.0,,,2000264030,"$310,000"
